Ticker,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,JNJ,JNJ,JNJ,JPM,JPM,JPM,META,META,META,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA
Price,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,221.11248779296875,222.77000427246094,37455600,187.0,187.0,33544200,157.64028930664062,164.63999938964844,4540900,199.16268920898438,206.60000610351562,9054400,522.5791625976562,525.5999755859375,11970500,422.0630798339844,427.0,17395700,119.0927734375,119.13999938964844,366052700,229.80999755859375,229.80999755859375,71894900
2024-09-13,220.84449768066406,222.5,36766600,186.49000549316406,186.49000549316406,26495400,158.48287963867188,165.52000427246094,3693400,196.96475219726562,204.32000732421875,10226700,521.6047973632812,524.6199951171875,10321400,425.611572265625,430.5899963378906,15874600,119.05278778076172,119.0999984741211,238358300,230.2899932861328,230.2899932861328,59515100
2024-09-16,214.71047973632812,216.32000732421875,59357400,184.88999938964844,184.88999938964844,26065500,159.89039611816406,166.99000549316406,5187800,200.37730407714844,207.86000061035156,8634900,530.7208251953125,533.280029296875,9527600,426.3529052734375,431.3399963378906,13834700,116.73371124267578,116.77999877929688,248772300,226.77999877929688,226.77999877929688,54323000
2024-09-17,215.1769561767578,216.7899932861328,45519300,186.8800048828125,186.8800048828125,26091700,159.96697998046875,167.07000732421875,5066500,201.71730041503906,209.25,7573300,533.746337890625,536.3200073242188,11690800,430.1188659667969,435.1499938964844,18874200,115.54417419433594,115.58999633789062,231925900,227.8699951171875,227.8699951171875,66761600
2024-09-18,219.04795837402344,220.69000244140625,59894900,186.42999267578125,186.42999267578125,34448100,159.08609008789062,166.14999389648438,4722800,200.05917358398438,207.52999877929688,8259900,535.368408203125,537.9500122070312,10323500,425.8290100097656,430.80999755859375,18898000,113.32505798339844,113.37000274658203,310318900,227.1999969482422,227.1999969482422,78010200
2024-09-19,227.16708374023438,228.8699951171875,66781300,189.8699951171875,189.8699951171875,39543200,157.81265258789062,164.82000732421875,4956100,202.90296936035156,210.47999572753906,11635200,556.4169311523438,559.0999755859375,15647000,433.617919921875,438.69000244140625,21706600,117.82327270507812,117.87000274658203,293506400,243.9199981689453,243.9199981689453,102694600
2024-09-20,226.50205993652344,228.1999969482422,318679900,191.60000610351562,191.60000610351562,100378600,157.18072509765625,164.16000366210938,11839000,203.49102783203125,211.08999633789062,20885000,558.6560668945312,561.3499755859375,22066800,430.23748779296875,435.2699890136719,55167100,115.95401763916016,116.0,382462400,238.25,238.25,99879100
2024-09-23,224.78494262695312,226.47000122070312,54146000,193.8800048828125,193.8800048828125,36993100,156.28065490722656,163.22000122070312,4671600,203.8284149169922,211.44000244140625,7223500,561.701416015625,564.4099731445312,12830700,428.4978332519531,433.510009765625,15128900,116.21391296386719,116.26000213623047,206228500,250.0,250.0,86927200
2024-09-24,225.67825317382812,227.3699951171875,43556100,193.9600067138672,193.9600067138672,43478900,155.85939025878906,162.77999877929688,6041600,203.97303771972656,211.58999633789062,7323200,560.6265869140625,563.3300170898438,12993000,424.2080078125,429.1700134277344,17015800,120.82209014892578,120.87000274658203,354966800,254.27000427246094,254.27000427246094,88491000
2024-09-25,224.68568420410156,226.3699951171875,42308700,192.52999877929688,192.52999877929688,26391100,153.77207946777344,160.60000610351562,5420000,202.62344360351562,210.19000244140625,8976500,565.5827026367188,568.3099975585938,16543400,427.1139831542969,432.1099853515625,13396400,123.4610366821289,123.51000213623047,284692900,257.0199890136719,257.0199890136719,65034300
2024-09-26,225.8271484375,227.52000427246094,36636700,191.16000366210938,191.16000366210938,36334900,154.5284881591797,161.38999938964844,6122000,202.2281951904297,209.77999877929688,7807500,565.114990234375,567.8400268554688,14400800,426.3232421875,431.30999755859375,14492000,123.9908218383789,124.04000091552734,302582900,254.22000122070312,254.22000122070312,67142200
